Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Average
2014,6.733333333333333,6.741666666666667,6.791666666666667,5.8999999999999995,7.566666666666666,4.983333333333333,6.616666666666667,5.608333333333333,7.708333333333333,6.433333333333334,7.141666666666667,4.233333333333333,4.383333333333334,7.166666666666667,5.95,4.2250000000000005,4.508333333333334,6.416666666666667,6.25,5.558333333333334,5.733333333333333,5.741666666666667,7.233333333333333,4.266666666666667,7.591666666666666,6.1499999999999995,4.666666666666667,3.25,8.158333333333333,4.325,6.733333333333333,6.591666666666666,6.291666666666667,6.108333333333333,2.6166666666666667,5.8,4.333333333333333,6.641666666666667,5.933333333333334,7.766666666666667,6.2749999999999995,3.3333333333333335,6.6000000000000005,5.191666666666666,3.6333333333333333,3.9916666666666667,5.116666666666666,5.925,6.5,5.3500000000000005,4.341666666666667,5.747222222222222
2015,6.125,6.2749999999999995,6.075,4.95,6.2250000000000005,3.7416666666666667,5.616666666666667,4.791666666666667,6.916666666666667,5.5249999999999995,6.075,3.4166666666666665,3.8666666666666667,5.991666666666667,4.783333333333333,3.6916666666666664,4.1499999999999995,5.233333333333333,6.291666666666667,4.383333333333334,4.991666666666666,4.791666666666667,5.425,3.7916666666666665,6.483333333333333,5.108333333333333,4.291666666666667,2.983333333333333,6.8500000000000005,3.391666666666667,5.7,6.6000000000000005,5.233333333333333,5.658333333333334,2.783333333333333,4.95,4.291666666666667,5.466666666666666,5.391666666666667,6.0249999999999995,5.8999999999999995,3.0500000000000003,5.566666666666666,4.483333333333333,3.5083333333333333,3.533333333333333,4.366666666666666,5.433333333333334,6.583333333333333,4.425,4.208333333333333,5.007679738562092
2016,5.908333333333334,6.6000000000000005,5.483333333333333,3.983333333333333,5.516666666666667,3.1333333333333333,4.866666666666666,4.5249999999999995,6.233333333333333,4.916666666666667,5.466666666666668,2.891666666666667,3.6750000000000003,5.883333333333333,4.366666666666666,3.5749999999999997,4.016666666666667,5.033333333333333,6.066666666666666,3.775,4.291666666666667,4.041666666666667,5.008333333333334,3.875,5.966666666666666,4.55,4.325,3.0666666666666664,5.808333333333334,2.8833333333333333,4.941666666666666,6.75,4.875,5.1,3.1,5.075,4.658333333333333,4.75,5.341666666666666,5.241666666666666,4.916666666666667,3.016666666666667,4.758333333333334,4.6499999999999995,3.35,3.125,4.0,5.2250000000000005,6.091666666666666,3.908333333333333,5.333333333333333,4.665522875816994
2017,4.508333333333334,6.508333333333333,4.9750000000000005,3.7416666666666667,4.833333333333333,2.6083333333333334,4.416666666666667,4.466666666666667,6.1000000000000005,4.3,4.758333333333334,2.216666666666667,3.216666666666667,4.95,3.4916666666666667,3.0583333333333336,3.6166666666666667,4.7749999999999995,5.108333333333333,3.358333333333333,4.0,3.7916666666666665,4.575,3.483333333333333,5.233333333333333,3.7416666666666667,4.091666666666666,2.975,4.983333333333333,2.808333333333333,4.533333333333333,6.041666666666667,4.633333333333334,4.5249999999999995,2.6083333333333334,4.966666666666667,4.033333333333333,4.058333333333333,4.9750000000000005,4.508333333333334,4.2,3.0500000000000003,3.75,4.341666666666667,3.1666666666666665,3.0083333333333333,3.6666666666666665,4.641666666666667,5.208333333333333,3.2583333333333333,4.325,4.160620915032679
2018,3.9416666666666664,6.041666666666667,4.808333333333334,3.658333333333333,4.258333333333334,3.0500000000000003,3.8833333333333333,3.7083333333333335,5.683333333333334,3.65,4.0,2.408333333333333,2.875,4.3999999999999995,3.4333333333333336,2.5749999999999997,3.358333333333333,4.2,4.825,3.1750000000000003,3.8166666666666664,3.475,4.158333333333333,3.025,4.958333333333333,3.2416666666666667,3.75,2.9250000000000003,4.383333333333334,2.625,4.008333333333334,4.925,4.1000000000000005,3.9916666666666667,2.408333333333333,4.5,3.2916666666666665,4.041666666666667,4.416666666666667,4.033333333333333,3.375,2.7916666666666665,3.5,3.9,2.9166666666666665,2.4833333333333334,3.0083333333333333,4.425,5.166666666666667,2.975,4.058333333333333,3.7766339869281045
2019,3.1833333333333336,5.608333333333333,4.808333333333334,3.4916666666666667,4.1000000000000005,2.6666666666666665,3.591666666666667,3.5500000000000003,5.5,3.25,3.5749999999999997,2.5166666666666666,2.8833333333333333,3.966666666666667,3.3083333333333336,2.6583333333333337,3.158333333333333,4.091666666666666,4.625,2.908333333333333,3.375,3.025,4.05,3.275,5.5,3.25,3.5,3.125,4.1499999999999995,2.575,3.4583333333333335,4.958333333333333,3.858333333333333,3.8833333333333333,2.1416666666666666,4.175,3.125,3.725,4.3,3.533333333333333,2.766666666666667,2.766666666666666,3.3333333333333335,3.525,2.5416666666666665,2.066666666666667,2.7583333333333333,4.191666666666666,4.925,3.2083333333333335,3.7083333333333335,3.5728758169934647
2020,6.408333333333334,8.35,7.825,6.183333333333334,10.191666666666666,6.783333333333334,8.0,7.4750000000000005,7.891666666666667,8.191666666666666,6.5,11.791666666666666,5.541666666666667,9.308333333333334,7.3500000000000005,5.2,5.816666666666666,6.466666666666666,8.691666666666666,5.116666666666667,6.466666666666666,9.375,10.05,6.283333333333334,8.033333333333333,6.216666666666666,5.841666666666666,4.2749999999999995,13.716666666666667,6.741666666666667,9.475,7.925,9.891666666666667,7.283333333333332,4.95,8.266666666666667,6.308333333333334,7.6000000000000005,8.875,9.241666666666667,5.966666666666666,4.183333333333334,7.508333333333333,7.7250000000000005,4.841666666666667,5.658333333333334,6.491666666666667,8.533333333333333,8.283333333333333,6.458333333333333,5.858333333333333,7.400163398692811
2021,3.375,6.383333333333333,5.066666666666666,4.041666666666667,7.325,5.483333333333333,6.383333333333333,5.4750000000000005,6.875,4.691666666666666,3.9333333333333336,5.958333333333333,3.5500000000000003,6.1000000000000005,3.9166666666666665,3.85,3.35,4.466666666666666,5.6000000000000005,4.666666666666667,5.2250000000000005,5.3999999999999995,5.766666666666667,3.6999999999999997,5.458333333333333,4.141666666666667,3.4,2.5833333333333335,6.833333333333333,3.408333333333333,6.708333333333333,7.066666666666666,7.091666666666666,4.883333333333334,3.0,5.158333333333333,4.033333333333333,5.15,5.925,5.516666666666667,3.9416666666666664,2.6166666666666667,4.466666666666667,5.641666666666667,2.7583333333333333,3.5833333333333335,3.85,5.241666666666666,5.1499999999999995,3.858333333333333,4.541666666666667,4.835130718954248
2022,2.5166666666666666,4.233333333333333,3.775,3.2083333333333335,4.2749999999999995,3.0666666666666664,4.091666666666667,4.233333333333333,4.75,2.9916666666666667,3.141666666666667,3.2583333333333333,2.841666666666667,4.566666666666666,3.0666666666666664,2.8083333333333336,2.625,4.0249999999999995,3.6333333333333333,2.85,2.983333333333333,3.658333333333333,4.133333333333334,2.533333333333333,3.783333333333333,2.6,2.6833333333333336,2.1416666666666666,5.2,2.275,3.8666666666666667,4.058333333333334,4.325,3.6833333333333336,2.0,3.9916666666666667,3.0416666666666665,3.9166666666666665,4.05,3.1666666666666665,3.2083333333333335,1.9916666666666665,3.3833333333333333,3.9416666666666664,2.3583333333333334,2.3249999999999997,2.7583333333333333,4.066666666666666,3.875,2.891666666666667,3.4166666666666665,3.377777777777778
2023,2.4916666666666667,4.216666666666667,3.908333333333333,3.225,4.741666666666666,3.15,3.7083333333333335,3.983333333333333,4.875,2.908333333333333,3.2000000000000006,2.9333333333333336,3.0833333333333335,4.458333333333333,3.341666666666667,2.9583333333333335,2.65,4.158333333333333,3.641666666666667,2.8333333333333335,2.1,3.341666666666667,3.891666666666667,2.8249999999999997,3.1999999999999997,3.058333333333333,2.858333333333333,2.2666666666666666,5.141666666666667,2.1666666666666665,4.416666666666667,3.75,4.208333333333333,3.4583333333333335,1.8833333333333335,3.525,3.216666666666667,3.7083333333333335,3.408333333333333,2.9416666666666664,2.9499999999999997,2.0,3.2916666666666665,3.9499999999999997,2.6416666666666666,2.0083333333333333,2.85,4.075,3.908333333333333,3.0500000000000003,2.9166666666666665,3.3230392156862743
2024,2.933333333333333,4.566666666666666,3.6333333333333337,3.4222222222222225,5.2555555555555555,3.755555555555555,4.022222222222222,4.033333333333333,5.344444444444445,3.2444444444444445,3.2777777777777777,3.0,3.388888888888889,4.977777777777778,3.788888888888889,2.8777777777777778,2.9444444444444446,4.6,4.088888888888889,3.0444444444444443,2.6555555555555554,3.211111111111111,4.122222222222223,2.933333333333333,2.8777777777777778,3.566666666666667,3.211111111111111,2.566666666666667,5.277777777777778,2.5555555555555554,4.722222222222222,3.9444444444444446,4.322222222222222,3.611111111111111,2.088888888888889,4.144444444444444,3.477777777777778,4.122222222222223,3.4,4.222222222222222,3.566666666666667,2.033333333333333,3.1555555555555554,4.0,3.011111111111111,2.177777777777778,2.8333333333333335,4.788888888888889,4.233333333333333,2.966666666666667,2.888888888888889,3.586056644880174
